Sl. No.,IFB / RFP / EOI / PQ No.,Project Title,Public Entity Name,ProcurementType,Status,Notice PublishedDate,Last Date ofBid Submission,No ofDays Left
7,TKJVC/TKV/080-81/ICB/DB-01,Contract 2: Electro-Mechanical Equipment and Transmission Lines Works of Tamakoshi V Hydroelectric Project (99.8 MW),Tamakoshi Jalvidhyut Company Limited,Works  ICB,,30-05-2024 00:00,27-09-2024 12:00,35 days
9,HEDBTL/AUCTION/01/2081-82,"Auction of equipment, tyre, batteries, scarp and etc","Heavy Equipment Division, Butwal",Goods  NCB,,23-08-2024 10:00,24-09-2024 12:00,32 days
12,01/BHO/TRM/MED/081/82,Procurement of Supply and Delivery of Medicines and Surgical Items,Temkemaiyung Rural Municipality,Goods  NCB,,23-08-2024 00:00,22-09-2024 12:00,30 days
26,PH/Karnali/NCB-03/081-82,Procurement of NICU Equipment.,"Province Hospital, Surkhet",Goods  NCB,,22-08-2024 14:25,22-09-2024 12:00,30 days
21,BGM/NCB/GOODS/2081/082-01,Supply and Delivery Of medicine and surgical items,"Bheriganga Municipality,Karnali",Goods  NCB,,21-08-2024 00:00,20-09-2024 12:00,28 days
1,DM/NCB/WORK/2081/082-03,"Construction of Asphalt Concrete Road Work at Duhabi Municipality, ward no-2, Bagde Road, Health post to Bengri jointed Road (Ch-0+612 to 1+258)",Duhabi Municipality,Works  NCB,,21-08-2024 00:00,20-09-2024 12:00,28 days
4,GPKNCRD/GOODS/NCB/03/2081-082,Purchase and Supply of Medicine Items at Hospital Pharmacy,GP Koirala National Center for Respiratory Diseases,Goods  NCB,,21-08-2024 10:00,20-09-2024 12:00,28 days
5,GPKNCRD/GOODS/NCB/04/2081-082,Purchase and Supply of Surgical Items at Hospital Pharmacy,GP Koirala National Center for Respiratory Diseases,Goods  NCB,,21-08-2024 10:00,20-09-2024 12:00,28 days
16,KAHS/NCB/PM/01/081/082,Procurement of Medicines for Hospital Pharmacy,Karnali Academy of Health Sciences (KAHS),Goods  NCB,,21-08-2024 00:00,20-09-2024 12:00,28 days
24,PRM/GOODS/01/081-082,Procurement of Medicines for Basic and Emergency Health Services,"Panchakanya Rural Municipality, Nuwakot",Goods  NCB,,21-08-2024 00:00,20-09-2024 12:00,28 days
10,STIDH/GOODS/NCB/05-081/082,The Procurement of Surgical Goods,"Sukraraj Tropical and Infectious Disease Hospital, Teku",Goods  NCB,,21-08-2024 10:00,20-09-2024 12:00,28 days
28,APFH/NCB/G/01/2081/082/002,Surgical Related Items,Nepal APF Hospital Balambu Kathmandu,Goods  NCB,,18-08-2024 17:30,18-09-2024 12:00,26 days
8,RDLHN/33701138/081/82-49,"Hume pipe culvert , Drain and Pavement works of Bastipur-Cancer Hospital-Belsaut Sadak",107 Division Road Office Lahan,Works  NCB,,18-08-2024 00:00,18-09-2024 12:00,26 days
30,RDLHN/33701169/2081/82-13,"Retaining Structures, Drainage,Black Top &amp; Traffic safety   works at Murkuchhi-Puware-Majhakhark-Baraha-Basbote-Kunai ghat-Haleshi Sadak,Udayapur",107 Division Road Office Lahan,Works  NCB,,18-08-2024 07:00,18-09-2024 12:00,26 days
10,RDLHN/33701169/2081/82-23,"Road Upgrading works (Asphalt, Drain ,Footpath &amp; Road Safety works) on Ha.na.pa.ka.-09 Hanuman Mandir Pachhim Gate Dekhi odaa numar-07 ko main Gate samaa sadak, Saptari",107 Division Road Office Lahan,Works  NCB,,18-08-2024 07:00,18-09-2024 12:00,26 days
11,081/82-12,"Blacktop Pavement and Side Drain Construction Works along Nepalgunj Submetropolitan-14,Nepalgunj Nagar Bhawan Dekhi-Duduwa-Ga.Pa. Ward No-6,Shasan Prahari Hudai Saraswati-Ma.Vi Meghosa Ilaka Prahari Ra Hirminiya Health Post Road(Nagar Bhawan-Hirminiya Health Post Section),Banke.",406 Division Road Office Nepalgunj,Works  NCB,,18-08-2024 00:00,17-09-2024 12:00,25 days
9,01-SAHIDBHUMI/HP/81/82,Construction of Health Post,"Sahidbhumi Rural Municipality, Dhankuta",Works  NCB,,09-08-2024 00:00,16-09-2024 12:00,24 days
28,BCH/GOODS/NCB/081/82/01,Procurement of General Medicines for Hospital Pharmacy,Bhaktapur Cancer Hospital,Goods  NCB,,16-08-2024 11:00,16-09-2024 12:00,24 days
29,BCH/GOODS/NCB/081/82/02,Procurement of Surgical Goods for Hospital Pharmacy,Bhaktapur Cancer Hospital,Goods  NCB,,16-08-2024 11:00,16-09-2024 12:00,24 days
10,NCB/Goods/01-2081/082,Supply and delivery of Medicine and surgical Goods,"Lalbandi Municipality Office, Lalbandi",Goods  NCB,,16-08-2024 00:00,16-09-2024 12:00,24 days
19,T1-081/82-05,Upgrading Works at Samiphed Dumredanda Pathibhara Hospital Aappipal Bhanjyang Madkilo Katahare Road,"Gorkha Road Project, Gorkha",Works  NCB,,16-08-2024 07:00,16-09-2024 12:00,24 days
11,17/2081/082,Procurement of Surgical Gauze and Cotton,Parpokar Maternity & Womens Hospital,Goods  NCB,,15-08-2024 10:00,15-09-2024 12:00,23 days
16,BANKE/KOMUN/G/NCB-01/2081/082,"Procurement of Medicine And Surgical Item, For  Kohalpur Municipality, Banke.","Kohalpur Municipality Office,Banke",Goods  NCB,,14-08-2024 14:35,15-09-2024 12:00,23 days
20,BPKIHS/081/082/09,Medicine for Hospital Pharmacy (Unit Rate),B.P. Koirala Institute of Health Sciences,Goods  NCB,,16-08-2024 11:00,15-09-2024 12:00,23 days
25,NCB/BNP/GW/081_082/01,"Procurement of Supply and Delivery of Medicines and Medical Supplies for Budhanilkantha Nagar Hospital, ward no -10",Budhanilkantha Municipality Office,Goods  NCB,,15-08-2024 10:00,15-09-2024 12:00,23 days
28,ORRM-G-NCB-06-081/82,Procurement Of Medicines For Basic And Emergency Health Services,Rurukshetra Rural Municipality,Goods  NCB,,15-08-2024 00:00,15-09-2024 12:00,23 days
18,STIDH/GOODS/NCB-02-081/082,medical oxygen gas,"Sukraraj Tropical and Infectious Disease Hospital, Teku",Goods  NCB,,15-08-2024 10:00,15-09-2024 12:00,23 days
2,02/TGDB/HRM/CO-081/082,Procurement and Supply of Hospitality Sector Human Resources through Outsourcing for Canteen Operation at Kathmandu-Singhadurbar,"Tara Gaon Development Board,Kathmandu",Goods  NCB,,14-08-2024 00:00,13-09-2024 12:00,21 days
3,1.1/PMC/081-82,Procurement of C-ARM Machine for Sisuwa Hospital(1/PMC/NCB/G/081-82),Pokhara Metropolitan City Office,Goods  NCB,,14-08-2024 00:00,13-09-2024 12:00,21 days
8,KNM/NSB/GOODS-01/2081/82,Procurement of Medicine and Surgical Device,Krishnanagar Municipality,Goods  NCB,,14-08-2024 10:00,13-09-2024 12:00,21 days
20,SPH/NCB/Goods/01/2081/082,Procurement of Medicine and Surgical Items for Safe Motherhood Program,Seti Zonal Hospital,Goods  NCB,,14-08-2024 13:00,13-09-2024 12:00,21 days
21,TSMC/NCB/01/W/081/082,Rapti Provincial Hospital to Ranijaruwa Road Upgrading Works Ward No. 5,Tulsipur Sub-Metropolitan City,Works  NCB,,14-08-2024 15:00,13-09-2024 12:00,21 days
3,MCVTC/GOODS/EB-04-8182,Supply of CRRT Disposable Items,Manmohan Cardiothoracic Vascular and Transplant Center,Goods  NCB,,12-08-2024 00:00,12-09-2024 12:00,20 days
24,RIDO/BANKE/ROAD/W/NCB/05/081-82,Blacktop work at Maitahawa school dekhi Radhapur health post hudai Uttar jane road,"Infrastructure Development Office, Banke",Works  NCB,,13-08-2024 11:00,12-09-2024 12:00,20 days
25,RIDO/BANKE/ROAD/W/NCB/06/081-82,Asphalt Concrete works at Baijnath ga. Pa. ra Khajura ga. Pa. Gunapur-Rampur-Digiya gaun-Syauli bazar hudai cancer hospital Khajura jodne Road,"Infrastructure Development Office, Banke",Works  NCB,,13-08-2024 00:00,12-09-2024 12:00,20 days
25,GGM/GOODS/NCB/01/2081/082,"The Procurement of
Medicines and Surgical Items in Gauriganga Municipality, Kailali","Gauriganga Municipality, Chaumala Kailali",Goods  NCB,,12-08-2024 11:00,11-09-2024 12:00,19 days
28,MCVTC/GOODS/EB-02-8182,Supply of Disposable Pressure Monitoring Kit,Manmohan Cardiothoracic Vascular and Transplant Center,Goods  NCB,,12-08-2024 00:00,11-09-2024 12:00,19 days
5,SM/01/081/082-04,Road upgrading for Health Post Deouja Gaoun,Suryabinayak Municipality Office,Works  NCB,,12-08-2024 00:00,11-09-2024 11:00,19 days
11,1/Health/Vyasmun/Goods/081/82,Procurement of medicines and surgical supplies for basic and emergency health services,"Office of Vyas Municipality, Tanahun",Goods  NCB,,12-08-2024 00:00,10-09-2024 12:00,18 days
18,2-RDDOT/2081/082-007,"Road Safety works on Mahakali highway, Seti Highway and Silgadhi Chaukhutte Road",502 Division Road Office Doti,Works  NCB,,11-08-2024 00:00,10-09-2024 12:00,18 days
30,DMO/JHAPA/HOSPITAL/LAB/2081-82,Procurement of Lab Chemicals and Accessories for Damak Hospital 2081-82,"Damak Municipality, Office of Municipal Executive",Goods  NCB,,11-08-2024 19:00,10-09-2024 12:00,18 days
3,M-002/2081/082,Medical Gas &amp; pipeline system,Tribhuvan University Teaching Hospital (TUTH),Goods  NCB,,08-08-2024 00:00,10-09-2024 12:00,18 days
4,ODRM-Gulmi-G-NCB-07-081/82,"Procurement of Medicine for Dhurkot Primary Health Center at Dhurkot RM-06,Gulmi.","Office of Dhurkot Rural Municipality, Dhurkot Jaisithok, Gulmi",Goods  NCB,,11-08-2024 00:00,10-09-2024 12:00,18 days
5,PAH-NCB-GOODS-02-081-082,procurement of Ayurveda medicine of Hospital Pharmacy,"Provincial Ayurveda Hospital, Dang",Goods  NCB,,11-08-2024 00:00,10-09-2024 12:00,18 days
23,13/2081/082,Procurement of Surgical Goods (Aama Surakshya tatha Navajat Sishu Nisulka Upachar Karyakram),Parpokar Maternity & Womens Hospital,Goods  NCB,,09-08-2024 10:00,08-09-2024 12:00,16 days
24,14/2081/082,Procurement Of Surgical Suture (Aama Surakashya karyakram),Parpokar Maternity & Womens Hospital,Goods  NCB,,09-08-2024 10:00,08-09-2024 12:00,16 days
14,APF/WSC/NCB/G/01/2081/082/002,Procurement of Surgical &amp; Radiology Items,"Armed Police Force, Nepal Welfare service Center",Goods  NCB,,09-08-2024 16:00,08-09-2024 12:00,16 days
16,BBMS/SQ/GOODS/081/082-01,Procurement of Medicine &amp; Surgical Item,"Office of Muncipal Executive, Bode Barsain Municipality, Saptari",Goods  Sealed Quotation,,23-08-2024 00:00,08-09-2024 12:00,16 days
21,DEV/SQ/GOODS/01/2081-82(2ndtime),PROCUREMENT AND SUPPLY OF  FULLY AUTOMATIC  CHEMO  LUMININESCENE  IMMUUNOASSAY  ANALYZER  FOR DEVCHULI MUNICIPAL  HOSPITAL DUMKAULI OF DEVCHULI  MUNICPALITY (2ND TIME),"Devchuli Municipality, Nawalparasi-East",Goods  Sealed Quotation,,22-08-2024 00:00,06-09-2024 12:00,14 days
30,OCOE/NCB/EMIS/01/2081/82,"The Supply, Deployment, Commissioning of Computer Server and Hardware Equipments for Re-Engineering of Exam Management Information System.",Tribhuvan University Office of the Controller examination (TU),Goods  NCB,,07-08-2024 00:00,06-09-2024 12:00,14 days
2,RDKTM/337011694/081/82/008,"Construction and Improvement of Hepali Height North to International Kathmandu Institute of Health Hospital Road, Kathmandu",206 Road Division Kathmandu,Works  NCB,,07-08-2024 20:00,06-09-2024 12:00,14 days
4,RDKTM/337011694/081/82/010,"Construction and Improvement of Toulung Nagigumba road, Bu.Na.Pa. 1 and Nagar Hospital to Silwal Tole Road",206 Road Division Kathmandu,Works  NCB,,07-08-2024 20:00,06-09-2024 12:00,14 days
15,RDKTM/337011694/081/82/021,Improvement of Shankharapur 6 CTEVT south Salambutar-Sushma Koirala Hospital-Sushma Memorial Nursing College Road.,206 Road Division Kathmandu,Works  NCB,,07-08-2024 23:59,06-09-2024 12:00,14 days
23,RDKTM/337011694/081/82/029,Improvement of Manamohan Samudayik Hospital to Gopaleswar- Pakhachowk Road.,206 Road Division Kathmandu,Works  NCB,,07-08-2024 23:59,06-09-2024 12:00,14 days
25,SM/NCB/SHM/G/04/081/082,"Procurement of medicine of Sundarbazar Hospital, Sundarbazar Municipality-07, Lamjung",Sundarbazar Municipality,Goods  NCB,,07-08-2024 00:00,06-09-2024 12:00,14 days
2,01/Goods/NCB/Kmun/081/82,Supply and Delivery of Medicine and Surgical items at Khairahani Municipality,"Khairahani Municiapality Office, Chitwan",Goods  NCB,,06-08-2024 18:00,05-09-2024 12:00,13 days
11,ARU/PHC/NCB/G/01/2081-82,Procurement for Medicine and Surgical Items for Aaruchanaute Primary Health Care center.,Aaruchanaute Primary Health Care Cenre,Goods  NCB,,05-08-2024 08:00,05-09-2024 12:00,13 days
12,BPKIHS/081/082/06,Hospital Furniture,B.P. Koirala Institute of Health Sciences,Goods  NCB,,06-08-2024 11:00,05-09-2024 12:00,13 days
4,SSRM-ROL-02-2081/082,PROCUREMENT &amp; SUPPLY OF MEDICINES &amp; SURGICAL ITEMS.,"Sunil Smriti Rural Municipality, Office of Rural Municipal Executive,Sulichaur, Rolpa",Goods  Sealed Quotation,,21-08-2024 00:00,05-09-2024 12:00,13 days
23,ODRM-Gulmi-W-NCB-05-081/82,Construction work of Hadhade Health Post Birthing Center,"Office of Dhurkot Rural Municipality, Dhurkot Jaisithok, Gulmi",Works  NCB,,05-08-2024 00:00,04-09-2024 12:00,12 days
7,SHM/MOR/SQ/W-55/2080/081,"Ward 6 Administrative Office Building,  and Ward 5 and 6 Health Post Building Maintenance Works",Sundarharaicha Municipality,Works  Sealed Quotation,,19-08-2024 00:00,03-09-2024 12:00,11 days
12,dhi/sq/02-2081/82,SUPPLY AND DELIVERY OF HEMODIALYSIS RELATED MEDICINE AND SURGICAL GOODS.,"Ilam Hospital, Ilam",Goods  Sealed Quotation,,18-08-2024 09:00,02-09-2024 12:00,10 days
17,MG/G/SQ/GNP/-01/081/082,Supply of medicine &amp; Medicinal Equipment,"Gulariya Municipality, Gulariya, Bardiya",Goods  Sealed Quotation,,18-08-2024 00:00,02-09-2024 12:00,10 days
21,UTKHPP/EG/SQ/05-2080/81(RE),"Supply, Delivery and Installation of Radio Communication Equipment at UTKHPP",Upper Tamakoshi Hydropower Limited,Goods  Sealed Quotation,,18-08-2024 00:00,02-09-2024 12:00,10 days
9,03/RDDML/081/82-27,"Road and Traffic Safety Works on Bhratang Bhir,Manang",301 Division Road Office Damauli,Works  NCB,,02-08-2024 11:50,01-09-2024 12:00,9 days
12,4/RM/SQ/G/2081/082(Administration),Essential office equipment and stationary equipment's,"Rajapur Municipality Office, Rajapur",Goods  Sealed Quotation,,16-08-2024 22:00,01-09-2024 12:00,9 days
25,BPKIHS/081/082/04,Chemotherapeutics Drugs for Hospital Pharmacy (Unit Rate),B.P. Koirala Institute of Health Sciences,Goods  NCB,,01-08-2024 11:00,01-09-2024 12:00,9 days
3,IFB-081/82-02-10,Road safety Works in In Anarkholi-Khodpe Patan-satbanjh-Jhulaghat Section of Midhill Highway(NH-03),503 Division Road Office Baitadi,Works  NCB,,02-08-2024 00:00,01-09-2024 13:00,9 days
4,IFB-081/82-02-11,"Road Safety Works in Khodpe -Chainpur Section of Khodpe Chainpur Highway (NH-64), CH 0+000 -108+000",503 Division Road Office Baitadi,Works  NCB,,02-08-2024 00:00,01-09-2024 13:00,9 days
30,MM/DKT/NCB/01/2081-082,Supply and delivery of medicine &amp;  surgical items,"Mahalaxmi Municipality, Dhankuta",Goods  NCB,,02-08-2024 00:00,01-09-2024 12:00,9 days
6,NEA/BPO/TRANSPORTATION/2081/82-01,"Transportation of Electric Equipment and Line Materials from NEA, Store Hetauda To Kharipati Store, Bhaktapur","NEA, Bagmati Provincial Office",Goods  NCB,,01-08-2024 13:30,01-09-2024 12:00,9 days
9,PoAHS/G/NCB-01/2081-82,Procurement of Medical and Surgical Items,Pokhara Academy of Health Sciences,Goods  NCB,,02-08-2024 10:00,01-09-2024 12:00,9 days
11,PoAHS/G/NCB-03/2081-82,Procurement of Medical Books (PoAHS/G/NCB-03/2081-82),Pokhara Academy of Health Sciences,Goods  NCB,,02-08-2024 10:00,01-09-2024 12:00,9 days
17,RAT/CHITWAN/goods/NCB/2/2081-82,Procurement of medicines for basic and emergency health services.,Ratnanagar Municipality,Goods  NCB,,02-08-2024 00:00,01-09-2024 12:00,9 days
22,RRM/ILAM/SQ/GOODS/2081/082-01,Supply and delivery of medicine and surgical items,"Rong Rural Municipality, Ilam",Goods  Sealed Quotation,,16-08-2024 10:00,01-09-2024 12:00,9 days
